transaction_id,account_id,transaction_type,amount_left,transaction_date,value_date,end_to_end_id,narrative_left,bank_transaction_id,account_number,counterparty_account,debit_credit,amount_right,transaction_time,narrative_right,_merge,amount_difference,match_status
LTX5029,L1010,REPAYMENT,2136.58,31/03/2026,31/03/2026,E2E00005029,Monthly repayment L1010,BK80026,20051234.0,67062156.0,CRDT,2136.58,2026-03-31 09:49:00,Mortgage payment ref L1010,both,0.0,MATCHED
LTX5030,L1010,REPAYMENT,2042.04,12/05/2026,12/05/2026,E2E00005030,Monthly repayment L1010,BK80027,20051234.0,16740197.0,CRDT,2042.04,2026-05-12 16:29:00,Mortgage payment ref L1010,both,0.0,MATCHED
LTX5031,L1010,REPAYMENT,1918.16,16/05/2026,16/05/2026,E2E00005031,Monthly repayment L1010,BK80028,20051234.0,27896471.0,CRDT,1918.16,2026-05-16 09:29:00,Mortgage payment ref L1010,both,0.0,MATCHED
LTX5033,L1011,REPAYMENT,1387.41,14/05/2026,14/05/2026,E2E00005033,Monthly repayment L1011,BK80029,20051234.0,89920257.0,CRDT,1387.41,2026-05-14 16:35:00,Mortgage payment ref L1011,both,0.0,MATCHED
LTX5034,L1011,REPAYMENT,1609.1,10/04/2026,10/04/2026,E2E00005034,Monthly repayment L1011,BK80030,20051234.0,77750178.0,CRDT,1609.1,2026-04-10 15:39:00,Mortgage payment ref L1011,both,0.0,MATCHED
LTX5035,L1011,REPAYMENT,1450.11,27/03/2026,27/03/2026,E2E00005035,Monthly repayment L1011,BK80031,20051234.0,31361812.0,CRDT,1450.11,2026-03-27 16:28:00,Mortgage payment ref L1011,both,0.0,MATCHED
LTX5036,L1011,REPAYMENT,1191.49,10/04/2026,10/04/2026,E2E00005036,Monthly repayment L1011,BK80032,20051234.0,44788100.0,CRDT,1191.49,2026-04-10 15:28:00,Mortgage payment ref L1011,both,0.0,MATCHED
LTX5038,L1012,REPAYMENT,1281.27,22/05/2026,22/05/2026,E2E00005038,Monthly repayment L1012,BK80033,20051234.0,79967676.0,CRDT,1281.27,2026-05-22 12:49:00,Mortgage payment ref L1012,both,0.0,MATCHED
LTX5039,L1012,REPAYMENT,1658.68,10/04/2026,10/04/2026,E2E00005039,Monthly repayment L1012,BK80034,20051234.0,69038700.0,CRDT,1658.68,2026-04-10 11:17:00,Mortgage payment ref L1012,both,0.0,MATCHED
LTX5040,L1012,REPAYMENT,1106.86,10/03/2026,10/03/2026,E2E00005040,Monthly repayment L1012,BK80035,20051234.0,46468984.0,CRDT,1106.86,2026-03-10 12:15:00,Mortgage payment ref L1012,both,0.0,MATCHED
LTX5042,L1013,REPAYMENT,1780.88,08/05/2026,08/05/2026,E2E00005042,Monthly repayment L1013,BK80036,20051234.0,28572252.0,CRDT,1780.88,2026-05-08 16:05:00,Mortgage payment ref L1013,both,0.0,MATCHED
LTX5043,L1013,REPAYMENT,1732.46,03/04/2026,03/04/2026,E2E00005043,Monthly repayment L1013,BK80037,20051234.0,30509175.0,CRDT,1732.46,2026-04-03 14:44:00,Mortgage payment ref L1013,both,0.0,MATCHED
LTX5045,L1014,REPAYMENT,1698.95,01/04/2026,01/04/2026,E2E00005045,Monthly repayment L1014,BK80038,20051234.0,64707061.0,CRDT,1698.95,2026-04-01 09:26:00,Mortgage payment ref L1014,both,0.0,MATCHED
LTX5046,L1014,REPAYMENT,1740.15,21/03/2026,21/03/2026,E2E00005046,Monthly repayment L1014,BK80039,20051234.0,18357162.0,CRDT,1740.15,2026-03-21 15:26:00,Mortgage payment ref L1014,both,0.0,MATCHED
LTX5047,L1016,REPAYMENT,2135.13,18/05/2026,18/05/2026,E2E00005047,Monthly repayment L1016,BK80040,20051234.0,88393811.0,CRDT,2135.13,2026-05-18 14:24:00,Mortgage payment ref L1016,both,0.0,MATCHED
LTX5048,L1016,REPAYMENT,1862.18,23/05/2026,23/05/2026,E2E00005048,Monthly repayment L1016,BK80041,20051234.0,87267850.0,CRDT,1862.18,2026-05-23 08:54:00,Mortgage payment ref L1016,both,0.0,MATCHED
LTX5051,L1017,REPAYMENT,2653.19,14/03/2026,14/03/2026,E2E00005051,Monthly repayment L1017,BK80042,20051234.0,50079111.0,CRDT,2653.19,2026-03-14 08:22:00,Mortgage payment ref L1017,both,0.0,MATCHED
LTX5052,L1017,REPAYMENT,2248.51,18/03/2026,18/03/2026,E2E00005052,Monthly repayment L1017,BK80043,20051234.0,83300637.0,CRDT,2248.51,2026-03-18 14:34:00,Mortgage payment ref L1017,both,0.0,MATCHED
LTX5053,L1017,REPAYMENT,2535.28,14/03/2026,14/03/2026,E2E00005053,Monthly repayment L1017,BK80044,20051234.0,39450273.0,CRDT,2535.28,2026-03-14 11:31:00,Mortgage payment ref L1017,both,0.0,MATCHED
LTX5054,L1017,REPAYMENT,2253.24,20/03/2026,20/03/2026,E2E00005054,Monthly repayment L1017,BK80045,20051234.0,62191530.0,CRDT,2253.24,2026-03-20 15:01:00,Mortgage payment ref L1017,both,0.0,MATCHED
LTX5055,L1018,REPAYMENT,2695.32,13/04/2026,13/04/2026,E2E00005055,Monthly repayment L1018,BK80046,20051234.0,32151928.0,CRDT,2695.32,2026-04-13 14:46:00,Mortgage payment ref L1018,both,0.0,MATCHED
LTX5056,L1018,REPAYMENT,3084.91,21/05/2026,21/05/2026,E2E00005056,Monthly repayment L1018,BK80047,20051234.0,81688860.0,CRDT,3084.91,2026-05-21 10:39:00,Mortgage payment ref L1018,both,0.0,MATCHED
LTX5057,L1018,REPAYMENT,2866.28,04/05/2026,04/05/2026,E2E00005057,Monthly repayment L1018,BK80048,20051234.0,98986321.0,CRDT,2865.53,2026-05-04 17:36:00,Mortgage payment ref L1018,both,0.75,MATCHED
LTX5058,L1018,REPAYMENT,2628.54,07/03/2026,07/03/2026,E2E00005058,Monthly repayment L1018,BK80049,20051234.0,71968116.0,CRDT,2627.79,2026-03-07 10:55:00,Mortgage payment ref L1018,both,0.75,MATCHED
LTX5060,L1019,REPAYMENT,2111.62,17/03/2026,17/03/2026,E2E00005060,Monthly repayment L1019,BK80050,20051234.0,53936531.0,CRDT,2111.62,2026-03-17 12:24:00,Mortgage payment ref L1019,both,0.0,MATCHED
LTX5061,L1019,REPAYMENT,1826.3,03/04/2026,03/04/2026,E2E00005061,Monthly repayment L1019,BK80051,20051234.0,60885459.0,CRDT,1826.3,2026-04-03 13:21:00,Mortgage payment ref L1019,both,0.0,MATCHED
LTX5062,L1020,REPAYMENT,2217.03,24/04/2026,24/04/2026,E2E00005062,Monthly repayment L1020,BK80052,20051234.0,20993268.0,CRDT,2217.03,2026-04-24 14:16:00,Mortgage payment ref L1020,both,0.0,MATCHED
LTX5063,L1020,REPAYMENT,1925.63,15/03/2026,15/03/2026,E2E00005063,Monthly repayment L1020,BK80053,20051234.0,56970882.0,CRDT,1925.63,2026-03-15 16:03:00,Mortgage payment ref L1020,both,0.0,MATCHED
LTX5064,L1020,REPAYMENT,2422.84,28/05/2026,28/05/2026,E2E00005064,Monthly repayment L1020,BK80054,20051234.0,97477029.0,CRDT,2422.84,2026-05-28 09:49:00,Mortgage payment ref L1020,both,0.0,MATCHED
LTX5065,L1020,REPAYMENT,1902.1,09/05/2026,09/05/2026,E2E00005065,Monthly repayment L1020,BK80055,20051234.0,12735359.0,CRDT,1901.6,2026-05-09 11:12:00,Mortgage payment ref L1020,both,0.5,MATCHED
LTX5067,L1021,REPAYMENT,1187.96,19/03/2026,19/03/2026,E2E00005067,Monthly repayment L1021,BK80056,20051234.0,73560289.0,CRDT,1187.96,2026-03-19 11:08:00,Mortgage payment ref L1021,both,0.0,MATCHED
LTX5068,L1021,REPAYMENT,1115.05,06/03/2026,06/03/2026,E2E00005068,Monthly repayment L1021,BK80057,20051234.0,72415804.0,CRDT,1115.05,2026-03-06 17:13:00,Mortgage payment ref L1021,both,0.0,MATCHED
LTX5069,L1021,REPAYMENT,1469.45,06/03/2026,06/03/2026,E2E00005069,Monthly repayment L1021,BK80058,20051234.0,91321540.0,CRDT,1469.45,2026-03-06 13:10:00,Mortgage payment ref L1021,both,0.0,MATCHED
LTX5070,L1021,REPAYMENT,1339.33,27/03/2026,27/03/2026,E2E00005070,Monthly repayment L1021,BK80059,20051234.0,31980274.0,CRDT,1339.33,2026-03-27 09:49:00,Mortgage payment ref L1021,both,0.0,MATCHED
LTX5071,L1022,REPAYMENT,1631.5,11/05/2026,11/05/2026,E2E00005071,Monthly repayment L1022,BK80060,20051234.0,13446499.0,CRDT,1631.5,2026-05-11 09:37:00,Mortgage payment ref L1022,both,0.0,MATCHED
LTX5072,L1022,REPAYMENT,1685.33,22/04/2026,22/04/2026,E2E00005072,Monthly repayment L1022,BK80061,20051234.0,60372847.0,CRDT,1685.33,2026-04-22 17:43:00,Mortgage payment ref L1022,both,0.0,MATCHED
LTX5073,L1022,REPAYMENT,1656.48,20/03/2026,20/03/2026,E2E00005073,Monthly repayment L1022,BK80062,20051234.0,89470029.0,CRDT,1656.48,2026-03-20 11:04:00,Mortgage payment ref L1022,both,0.0,MATCHED
LTX5075,L1023,REPAYMENT,1458.63,23/03/2026,23/03/2026,E2E00005075,Monthly repayment L1023,BK80063,20051234.0,50477742.0,CRDT,1458.63,2026-03-23 11:06:00,Mortgage payment ref L1023,both,0.0,MATCHED
LTX5076,L1023,REPAYMENT,1037.4,04/03/2026,04/03/2026,E2E00005076,Monthly repayment L1023,BK80064,20051234.0,26247735.0,CRDT,1037.4,2026-03-04 17:51:00,Mortgage payment ref L1023,both,0.0,MATCHED
LTX5077,L1024,REPAYMENT,1121.58,25/05/2026,25/05/2026,E2E00005077,Monthly repayment L1024,BK80065,20051234.0,15512205.0,CRDT,1121.58,2026-05-25 17:50:00,Mortgage payment ref L1024,both,0.0,MATCHED
LTX5078,L1024,REPAYMENT,763.22,01/04/2026,01/04/2026,E2E00005078,Monthly repayment L1024,BK80066,20051234.0,59737181.0,CRDT,763.22,2026-04-01 14:42:00,Mortgage payment ref L1024,both,0.0,MATCHED
LTX5079,L1024,REPAYMENT,667.99,29/05/2026,29/05/2026,E2E00005079,Monthly repayment L1024,BK80067,20051234.0,66379329.0,CRDT,667.99,2026-05-29 13:00:00,Mortgage payment ref L1024,both,0.0,MATCHED
LTX5080,L1025,REPAYMENT,1824.47,29/03/2026,29/03/2026,E2E00005080,Monthly repayment L1025,BK80068,20051234.0,58612055.0,CRDT,1824.47,2026-03-29 09:27:00,Mortgage payment ref L1025,both,0.0,MATCHED
LTX5081,L1025,REPAYMENT,1914.53,28/04/2026,28/04/2026,E2E00005081,Monthly repayment L1025,BK80069,20051234.0,30534124.0,CRDT,1914.53,2026-04-28 15:45:00,Mortgage payment ref L1025,both,0.0,MATCHED
LTX5082,L1025,REPAYMENT,1838.48,30/03/2026,30/03/2026,E2E00005082,Monthly repayment L1025,BK80070,20051234.0,46249845.0,CRDT,1838.48,2026-03-30 16:41:00,Mortgage payment ref L1025,both,0.0,MATCHED
