bank_transaction_id,end_to_end_id,account_number,counterparty_account,debit_credit,amount,transaction_time,narrative
BK80010,E2E00005011,20051234,52133044,CRDT,1760.47,2026-05-10 13:39:00,Mortgage payment ref L1005
BK80009,E2E00005010,20051234,67887757,CRDT,1967.6,2026-03-10 11:23:00,Mortgage payment ref L1005
BK80069,E2E00005081,20051234,30534124,CRDT,1914.53,2026-04-28 15:45:00,Mortgage payment ref L1025
BK80028,E2E00005031,20051234,27896471,CRDT,1918.16,2026-05-16 09:29:00,Mortgage payment ref L1010
BK80011,E2E00005012,20051234,50308572,CRDT,2841.53,2026-03-02 09:46:00,Mortgage payment ref L1006
BK80030,E2E00005034,20051234,77750178,CRDT,1609.1,2026-04-10 15:39:00,Mortgage payment ref L1011
BK80041,E2E00005048,20051234,87267850,CRDT,1862.18,2026-05-23 08:54:00,Mortgage payment ref L1016
BK80067,E2E00005079,20051234,66379329,CRDT,667.99,2026-05-29 13:00:00,Mortgage payment ref L1024
BK80012,E2E00005013,20051234,64009265,CRDT,2359.92,2026-03-31 14:20:00,Mortgage payment ref L1006
BK80071,E2E00099000,20051234,82232344,CRDT,2982.14,2026-05-18 10:00:00,Manual receipt - unallocated
BK80054,E2E00005064,20051234,97477029,CRDT,2422.84,2026-05-28 09:49:00,Mortgage payment ref L1020
BK80051,E2E00005061,20051234,60885459,CRDT,1826.3,2026-04-03 13:21:00,Mortgage payment ref L1019
BK80065,E2E00005077,20051234,15512205,CRDT,1121.58,2026-05-25 17:50:00,Mortgage payment ref L1024
BK80020,E2E00005022,20051234,22534217,CRDT,1792.56,2026-03-08 17:21:00,Mortgage payment ref L1008
BK80043,E2E00005052,20051234,83300637,CRDT,2248.51,2026-03-18 14:34:00,Mortgage payment ref L1017
BK80026,E2E00005029,20051234,67062156,CRDT,2136.58,2026-03-31 09:49:00,Mortgage payment ref L1010
BK80015,E2E00005017,20051234,83542887,CRDT,875.37,2026-04-19 12:25:00,Mortgage payment ref L1007
BK80019,E2E00005021,20051234,21381064,CRDT,1575.67,2026-04-07 10:42:00,Mortgage payment ref L1008
BK80070,E2E00005082,20051234,46249845,CRDT,1838.48,2026-03-30 16:41:00,Mortgage payment ref L1025
BK80002,E2E00005002,20051234,13704481,CRDT,802.55,2026-03-25 16:21:00,Mortgage payment ref L1001
BK80029,E2E00005033,20051234,89920257,CRDT,1387.41,2026-05-14 16:35:00,Mortgage payment ref L1011
BK80055,E2E00005065,20051234,12735359,CRDT,1901.6,2026-05-09 11:12:00,Mortgage payment ref L1020
BK80031,E2E00005035,20051234,31361812,CRDT,1450.11,2026-03-27 16:28:00,Mortgage payment ref L1011
BK80048,E2E00005057,20051234,98986321,CRDT,2865.53,2026-05-04 17:36:00,Mortgage payment ref L1018
BK80053,E2E00005063,20051234,56970882,CRDT,1925.63,2026-03-15 16:03:00,Mortgage payment ref L1020
BK80072,E2E00099001,20051234,89520597,CRDT,2055.16,2026-05-01 10:00:00,Manual receipt - unallocated
BK80027,E2E00005030,20051234,16740197,CRDT,2042.04,2026-05-12 16:29:00,Mortgage payment ref L1010
BK80047,E2E00005056,20051234,81688860,CRDT,3084.91,2026-05-21 10:39:00,Mortgage payment ref L1018
BK80016,E2E00005018,20051234,38210242,CRDT,887.4,2026-04-28 12:18:00,Mortgage payment ref L1007
BK80006,E2E00005006,20051234,61700055,CRDT,1272.4,2026-03-14 16:07:00,Mortgage payment ref L1004
BK80013,E2E00005014,20051234,35748341,CRDT,2548.95,2026-05-02 16:08:00,Mortgage payment ref L1006
BK80034,E2E00005039,20051234,69038700,CRDT,1658.68,2026-04-10 11:17:00,Mortgage payment ref L1012
BK80001,E2E00005001,20051234,96098221,CRDT,1230.45,2026-04-30 12:22:00,Mortgage payment ref L1001
BK80074,E2E00005002,20051234,13704481,CRDT,802.55,2026-03-25 16:23:00,Mortgage payment ref L1001
BK80073,E2E00099002,20051234,42949803,CRDT,1670.22,2026-04-04 10:00:00,Manual receipt - unallocated
BK80045,E2E00005054,20051234,62191530,CRDT,2253.24,2026-03-20 15:01:00,Mortgage payment ref L1017
BK80039,E2E00005046,20051234,18357162,CRDT,1740.15,2026-03-21 15:26:00,Mortgage payment ref L1014
BK80057,E2E00005068,20051234,72415804,CRDT,1115.05,2026-03-06 17:13:00,Mortgage payment ref L1021
BK80018,E2E00005020,20051234,38682516,CRDT,1537.93,2026-05-02 15:28:00,Mortgage payment ref L1008
BK80022,E2E00005024,20051234,13278320,CRDT,1619.86,2026-05-14 11:09:00,Mortgage payment ref L1009
BK80017,E2E00005019,20051234,97873101,CRDT,1842.18,2026-05-11 17:38:00,Mortgage payment ref L1008
BK80052,E2E00005062,20051234,20993268,CRDT,2217.03,2026-04-24 14:16:00,Mortgage payment ref L1020
BK80023,E2E00005025,20051234,19774839,CRDT,1427.5,2026-05-07 17:54:00,Mortgage payment ref L1009
BK80014,E2E00005015,20051234,33357554,CRDT,2801.6,2026-04-21 14:43:00,Mortgage payment ref L1006
BK80063,E2E00005075,20051234,50477742,CRDT,1458.63,2026-03-23 11:06:00,Mortgage payment ref L1023
BK80024,E2E00005026,20051234,61536717,CRDT,1381.86,2026-05-05 17:12:00,Mortgage payment ref L1009
BK80042,E2E00005051,20051234,50079111,CRDT,2653.19,2026-03-14 08:22:00,Mortgage payment ref L1017
BK80064,E2E00005076,20051234,26247735,CRDT,1037.4,2026-03-04 17:51:00,Mortgage payment ref L1023
BK80004,E2E00005004,20051234,24549543,CRDT,1440.11,2026-03-07 12:02:00,Mortgage payment ref L1003
BK80044,E2E00005053,20051234,39450273,CRDT,2535.28,2026-03-14 11:31:00,Mortgage payment ref L1017
BK80049,E2E00005058,20051234,71968116,CRDT,2627.79,2026-03-07 10:55:00,Mortgage payment ref L1018
BK80060,E2E00005071,20051234,13446499,CRDT,1631.5,2026-05-11 09:37:00,Mortgage payment ref L1022
BK80032,E2E00005036,20051234,44788100,CRDT,1191.49,2026-04-10 15:28:00,Mortgage payment ref L1011
BK80058,E2E00005069,20051234,91321540,CRDT,1469.45,2026-03-06 13:10:00,Mortgage payment ref L1021
BK80036,E2E00005042,20051234,28572252,CRDT,1780.88,2026-05-08 16:05:00,Mortgage payment ref L1013
